año,mes,variable,valor,fuente,qa_policy,n_valid_pixels,n_total_pixels,valid_pixel_pct
2025,11,luminosidad_nocturna_mensual_nwcm2sr,1.3867,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,244677,4300361.0,5.6897
2025,11,luminosidad_nocturna_p90,0.8047,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,244677,4300361.0,5.6897
2025,12,luminosidad_nocturna_frac_iluminada,7.1922,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,966373,4300361.0,22.4719
2025,12,luminosidad_nocturna_logmedia,0.1755,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,966373,4300361.0,22.4719
2025,12,luminosidad_nocturna_mediana,0.0,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,966373,4300361.0,22.4719
2025,12,luminosidad_nocturna_mensual_nwcm2sr,1.4048,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,966373,4300361.0,22.4719
2025,12,luminosidad_nocturna_p90,0.6351,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,966373,4300361.0,22.4719
2026,3,luminosidad_nocturna_frac_iluminada,5.5645,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,490073,4300361.0,11.3961
2026,3,luminosidad_nocturna_logmedia,0.1345,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,490073,4300361.0,11.3961
2026,3,luminosidad_nocturna_mediana,0.0,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,490073,4300361.0,11.3961
2026,3,luminosidad_nocturna_mensual_nwcm2sr,0.6124,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,490073,4300361.0,11.3961
2026,3,luminosidad_nocturna_p90,0.5773,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,490073,4300361.0,11.3961
2026,4,luminosidad_nocturna_frac_iluminada,2.494,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,192423,4300361.0,4.4746
