ano,estado,estado_cod,ntl_idx,fuente
2006,Cojedes,CO,14.0966,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Delta Amacuro,DE,13.4894,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Dependencias Fed.,DF,16.7884,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Distrito Capital,DC,46.2251,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Falcon,FA,9.0055,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Guarico,GU,10.6335,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Lara,LA,10.5265,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Merida,ME,8.4581,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Miranda,MI,20.3162,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Monagas,MO,11.6139,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Nueva Esparta,NE,20.4711,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Portuguesa,PO,9.3646,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Sucre,SU,9.6689,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Tachira,TA,9.5467,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Trujillo,TR,9.3889,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Vargas,VA,27.1249,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Yaracuy,YA,11.2887,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Zulia,ZU,12.6647,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2007,Amazonas,AM,12.678,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Anzoategui,AN,12.0989,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Apure,AP,10.0869,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Aragua,AR,19.7745,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Barinas,BA,9.9188,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Bolivar,BO,12.6001,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Carabobo,CA,17.28,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Cojedes,CO,15.2089,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Delta Amacuro,DE,12.4003,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Dependencias Fed.,DF,16.9948,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Distrito Capital,DC,44.7136,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Falcon,FA,9.1903,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Guarico,GU,10.7511,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Lara,LA,10.9426,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Merida,ME,8.1593,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Miranda,MI,19.5619,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Monagas,MO,10.8107,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Nueva Esparta,NE,21.8901,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Portuguesa,PO,9.9627,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Sucre,SU,9.8251,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
