año,mes,fecha,pulse_score,cobertura_pct,disponibilidad_pct,n_vars,n_vars_total,produccion_disponible,mes_cerrado,elegible_modelo,estado,delta_1m,delta_comparable_1m,efecto_composicion_1m,cobertura_comun_1m_pct,composicion_estable_1m,delta_3m,delta_comparable_3m,efecto_composicion_3m,cobertura_comun_3m_pct,composicion_estable_3m
2020,8,2020-08-01,44.25,96.0,96.0,14,15,True,True,True,utilizable,1.49,1.4908,-0.0008,96.0,True,11.59,11.5941,-0.0041,96.0,True
2020,9,2020-09-01,43.74,96.0,96.0,14,15,True,True,True,utilizable,-0.51,-0.5112,0.0012,96.0,True,3.39,3.3971,-0.0071,96.0,True
2020,10,2020-10-01,47.56,96.0,96.0,14,15,True,True,True,utilizable,3.82,3.8138,0.0062,96.0,True,4.8,4.7934,0.0066,96.0,True
2020,11,2020-11-01,45.64,96.0,96.0,14,15,True,True,True,utilizable,-1.92,-1.9197,-0.0003,96.0,True,1.39,1.3829,0.0071,96.0,True
2020,12,2020-12-01,49.53,96.0,96.0,14,15,True,True,True,utilizable,3.89,3.8907,-0.0007,96.0,True,5.79,5.7849,0.0051,96.0,True
2021,1,2021-01-01,47.06,96.0,96.0,14,15,True,True,True,utilizable,-2.47,-2.4663,-0.0037,96.0,True,-0.5,-0.4953,-0.0047,96.0,True
2021,2,2021-02-01,51.64,96.0,96.0,14,15,True,True,True,utilizable,4.58,4.5804,-0.0004,96.0,True,6.0,6.0048,-0.0048,96.0,True
2021,3,2021-03-01,48.11,96.0,96.0,14,15,True,True,True,utilizable,-3.53,-3.5352,0.0052,96.0,True,-1.42,-1.4211,0.0011,96.0,True
2021,4,2021-04-01,51.03,96.0,96.0,14,15,True,True,True,utilizable,2.92,2.9209,-0.0009,96.0,True,3.97,3.9661,0.0039,96.0,True
2021,5,2021-05-01,52.83,96.0,96.0,14,15,True,True,True,utilizable,1.8,1.8017,-0.0017,96.0,True,1.19,1.1874,0.0026,96.0,True
2021,6,2021-06-01,55.24,96.0,96.0,14,15,True,True,True,utilizable,2.41,2.4141,-0.0041,96.0,True,7.13,7.1366,-0.0066,96.0,True
